author_id,submission_id,rank,score,proxy
0,28,1.0,4.0,4.5
0,11,2.0,6.0,5.5
1,20,1.0,4.0,6.5
1,17,2.0,5.0,4.0
2,10,1.0,3.0,3.0
2,43,1.0,6.0,5.5
2,24,2.0,5.0,3.5
2,18,3.0,7.0,7.5
3,26,1.0,6.0,4.333333333333333
3,9,2.0,7.0,8.0
3,35,3.0,7.0,6.0
3,16,4.0,7.0,6.5
4,6,1.0,3.0,6.0
4,12,2.0,6.0,6.5
4,32,3.0,8.0,6.0
5,41,1.0,6.0,4.0
5,13,2.0,7.0,7.0
5,30,3.0,3.0,4.0
5,1,4.0,3.0,3.0
5,0,5.0,3.0,3.0
5,8,6.0,3.0,3.0
5,36,7.0,3.0,2.5
6,7,1.0,3.0,3.0
6,19,2.0,3.0,2.0
6,33,3.0,4.0,3.5
6,22,4.0,3.0,2.6666666666666665
6,29,5.0,7.0,3.0
6,37,6.0,3.0,3.5
6,40,7.0,6.0,6.0
6,44,8.0,3.0,3.0
7,27,1.0,6.0,5.0
7,15,1.0,4.0,6.0
7,3,2.0,6.0,6.666666666666667
7,39,3.0,4.0,4.333333333333333
8,2,1.0,7.0,6.0
8,38,2.0,7.0,7.0
8,21,3.0,3.0,3.0
8,31,3.0,6.0,8.0
8,14,3.0,5.0,3.0
9,5,1.0,6.0,5.0
9,42,1.0,5.0,6.0
9,23,1.0,5.0,6.5
9,45,2.0,5.0,5.0
9,4,3.0,6.0,5.333333333333333
9,34,3.0,5.0,3.5
9,25,4.0,4.0,3.0
